"
Название категории"|Порядковый номер
Профессиональная серия IPG |1
Моноблоки   IPG |2
"Запчасти ""PORTOTECNICA"" "|3
"Запчасти ""EVOLUTION"" "|4
Бытовая серия Portotecnica|5
Профессиональная серия Portotecnica |6
Аппараты высокого давления без нагрева воды (стационарные) |7
 Аппараты высокого давления без нагрева воды (керамическая поршневая группа)|8
 Аппараты высокого давления без нагрева воды с бензиновым двигателем (керамическая поршневая группа)|9
 Аппараты высокого давления с нагревом воды (керамическая поршневая группа)|10
 Генераторы горячей воды (бойлеры) для аппаратов высокого давления|11
Поломоечные машины|12
 Пылесосы для влажной и сухой уборки|13
 Химчистки|14
Парогенераторы|15
Помпы, моноблоки  высокого давления и электродвигатели|16
"Помпы для аппаратов высокого давления ""PORTOTECNICA"""|17
Моноблоки  высокого давления без нагрева воды IPG |18
Плунжерные насосы высокого давления HAWK|19
Запчасти для насоса NMT 1520R|20
Моноблоки|21
Помпы Annovi Reverberi для аппаратов высокого давления «PORTOTECNICA» (пр-во Италия)|22
Электродвигатели Италия (EME)|23
Запчасти EME|24
PROCAR (Италия)  Пеногенераторы TORNADO|25
 Пеногенераторы TORNADO (корпус из нержавеющей стали)|26
Спрейеры TORNADO|27
Аксессуары для пеногенератора|28
 SOTECO Пылесосы для влажной и сухой уборки Профессиональная серия PANDA XP |29
Профессиональная серия PANDA XP|30
Профессиональная серия PANDA (бак из нержавеющей стали)|31
"Пылесосы для строительных работ  (система ""циклон"", без использования мешков для мусора) "|32
SOTECO Профессиональная серия TORNADO|33
Пылесосы для сухой и влажной уборки|34
Профессиональная серия TORNADO (пластиковый бак) Пылесосы для влажной и сухой уборки|35
Пылесосы для влажной и сухой уборки с системой FLOWMIX|36
Профессиональная серия TORNADO (бак из нержавеющей стали) Пылесосы для влажной и сухой уборки|37
Пылесосы для влажной и сухой уборки с системой FLOWMIX|38
Пылесос для влажной и сухой уборки с системой 3-FLOW|39
"Пылесос для строительных работ  (система ""циклон"", без использования мешков для мусора) "|40
"Пылесос для строительных работ (система ""электрического встряхивания"" для очистки фильтра) "|41
Профессиональная серия TORNADO|42
Химчистки TORNADO|43
Промышленная серия TORNADO (бак из нержавеющей стали) Пылесосы для влажной и сухой уборки|44
Аксессуары|45
Турбины для пылесосов AMETEK (Италия)|46
ПЕНОКОМПЛЕКТЫ И АКСЕССУАРЫ|47
ПЕНОКОМПЛЕКТЫ ДЛЯ БЫТОВЫХ АППАРАТОВ KARCHER, PORTOTECNICA, ANNOVI REVERBERI, BOSCH|48
ПЕНОКОМПЛЕКТЫ И АКСЕССУАРЫ ДЛЯ ПРОФЕССИОНАЛЬНЫХ АППАРАТОВ KARCHER|49
РАСПЫЛИТЕЛИ ДЛЯ ХИМЧИСТКИ И ЗАПЧАСТИ К НИМ|50
РАСПЫЛИТЕЛИ|51
ШЛАНГИ ВЫСОКОГО ДАВЛЕНИЯ С ЗАЩИТОЙ ОТ ПЕРЕГИБАм|52
АРМАТУРА ДЛЯ ШЛАНГОВ|53
ПОВОРОТНЫЕ КОНСОЛИ|54
ФИЛЬТРЫ ВХОДНЫЕ ДЛЯ АВД|55
ШЛАНГИ ДЛЯ ПЫЛЕСОСОВ|56
"ПРОДУКЦИЯ ""VIKAN"" (Дания)"|57
АКСЕССУАРЫ ДЛЯ ПИЩЕВОЙ ПРОМЫШЛЕННОСТИ|58
АКСЕССУАРЫ ДЛЯ ПРОЧИСТКИ ТРУБ И ПРОМЫВКИ КАНАЛИЗАЦИИ|59
АКСЕССУАРЫ И ЗАПЧАСТИ ДЛЯ PORTOTECNICA|60
РАЗНОЕ|61
ПЕНОКОМПЛЕКТЫ И АКСЕССУАРЫ|62
ПЕНОКОМПЛЕКТЫ И АКСЕССУАРЫ ДЛЯ БЫТОВЫХ АППАРАТОВ FAIP, LAVOR, STIHL|63
ПОВОРОТНЫЕ КОНСОЛИ|64
ФИЛЬТРЫ ВХОДНЫЕ ДЛЯ АВД|65
АКСЕССУАРЫ И ЗАПЧАСТИ ДЛЯ PORTOTECNICA|66
ЗАПЧАСТИ ДЛЯ ПЕНОРАСПЫЛИТЕЛЯ LS3|67
ПЕНОКОМПЛЕКТЫ И АКСЕССУАРЫ|68
ПОВОРОТНЫЕ КОНСОЛИ|69
РАЗНОЕ|70
Средства для бесконтактной мойки|71
Автошампунь|72
Средство для очистки двигателя|73
Очистители салона|74
Восстановитель-кондиционер для кожи и пластика|75
Очистители дисков|76
Средство для чернения резины|77
Очистители стекол|78
Очиститель кузова автомобиля от насекомых|79
Жидкий воск|80
Быстрая полироль кузова|81
Расконсервант|82
Средства для поломоечных машин|83
Средство для очистки рук|84
Искусственная замша|85
Кран-дозатор|86
Аэрозольная продукция профессионального применения VMD (Италия) ОЧИСТИТЕЛИ-ПОЛИРОЛИ|87
ОЧИСТИТЕЛИ|88
СМАЗОЧНЫЕ МАТЕРИАЛЫ|89
СПЕЦИАЛЬНЫЕ ПРОДУКТЫ|90
|
|
|
|
|
|
|
|
|
|
|
|
|
|
|
|
|
|
|
|
|
|
|
|
|
|
|
|
|
|
