Подъемники,,,
TJ-1025,"Подъемник пневматический 2,5т Акция!","1,703  ","1,310  "
TJ-1025-B,"Подъемник пневматический 2,5т","2,730  ","2,100  "
T4,"Подъемник 2-х стоечный, 4т, эл-гидравлический, 220/380В","1,680  ","1,400  "
T4B,"Подъемник 2-х стоечный, 4т, эл-гидравлический, 380В с электро блокировкой","2,405  ","1,850  "
S4B-2,"Подъемник 2-х стоечный, 4т, с верхней синхронизацией, 220В/380В","2,184  ","1,680  "
S4D-2,"Подъемник 2-х стоечный, 4т, с верхней синхронизацией, 220B/380В","2,600  ","2,000  "
S4D-2E,"Подъемник 2-х стоечный, 4т, с верхней синхронизацией, 380В","2,795  ","2,150  "
S3.5F-4,"Подъемник 4-х стоечный, 3.5т, для сход-развала, с траверсой 2т","4,420  ","3,400  "
F4.5D-4,"Подъемник 4-х стоечный, 4,5т, для сход-развала, с траверсой 2т","5,525  ","4,250  "
F6010,"Подъемник ножничный 3т, для шиномонтажа (подъем 1 метр), 220B/380B","3,276  ","2,520  "
F6105,"Подъемник ножничный 3т, для монтажа ""в пол"", 220/380В","4,264  ","3,280  "
F6106,"Подъемник ножничный 3т, для монтажа ""на пол"", 220/380В","4,810  ","3,700  "
F6106E,"Подъемник ножничный 3т, для монтажа ""на пол"", 220/380В","5,070  ","3,900  "
F27,"Подъемник ножничный 2.6т, передвижной, 220/380В","2,120  ","1,630  "
F6109+LR,"Подъемник пантографный 4т, для сход-развала, 220/380В","9,600  ","8,000  "
Шиномонтажное и балансировочное оборудование для легкового транспорта,,,
В-500,"Балансировка, 220В (DST910B) ",714  ,595  
В-500 (Белорецк),"Балансировка, 220В (Производство Россия)  (DST910B) ",714  ,595  
B-520,"Балансировка, 220В, с усовершенствованной программой (BL520)",878  ,675  
В-820,"Балансировка, 220В с усиленным корпусом Новинка!","1,235  ",950  
В-823,"Балансировка, 220В с усиленным корпусом Новинка!","1,456  ","1,120  "
В-829,"Балансировка, 220В с усиленным корпусом Новинка!","1,755  ","1,350  "
М-100,"Шиномонтаж полуавтомат, 220В/380В, 10-20"" (850)",852  ,710  
М-200,"Шиномонтаж полуавтомат, 220В/380В, 10-20"" (810)",975  ,750  
M-201B,"Шиномонтаж полуавтомат с наддувом, 220В/380В, 10-24"" (890IT)","1,261  ",970  
M-201ВР1,"Шиномонтаж полуавтомат с правой рукой с наддувом, 220/380В, 10-24"" (BL523IT+ACAP2004)","1,560  ","1,200  "
М-203Р2,"Шиномонтаж полуавтомат с левой рукой, 380В, 12-26"" (BL545+ACAP2009)","1,662  ","1,278  "
М-203ВР2,"Шиномонтаж полуавтомат с левой рукой и наддувом, 220/380В, 12-26"" (BL545IT+ACAP2009)","1,885  ","1,450  "
M-209BP1P2 ,"Шиномонтаж полуавтомат с правой и левой руками и наддувом, 220/380В, 12-28"" (BL548IT)","2,236  ","1,720  "
M-221B,"Шиномонтаж автомат с наддувом, 220/380, 10-24"" (885IT)","1,625  ","1,250  "
M-221P6,"Шиномонтаж автомат с правой рукой, 380В, 10-24"" (BL533+ACAP2002)","2,080  ","1,600  "
M-221BP6,"Шиномонтаж автомат с правой рукой и наддувом, 220/380В, 10-24"" (BL533IT+ACAP2002)","2,288  ","1,760  "
M-231P36,"Шиномонтаж автомат с правой рукой, 380В, 12-26"" (BL555+ACAP2007) ","2,665  ","2,050  "
M-231BP36,"Шиномонтаж автомат с правой рукой и наддувом, 220/380В, 12-26"" (BL555IT+ACAP2007)","2,717  ","2,090  "
