Арт. Изделия|Название|Комментарий|Цена рекомендованная в евро|Производитель|Категория|,
10130M2TX (VER.351)|TX 10.130 (220 В) БЕЗ АКСЕССУАРОВ|30-130бар,300-600л/ч,3200Вт,220В,1400об,BY-PASS,46кг|703,30 €|1|1|,,,,,
13180M3TX (VER.351)|TX 13.180 (380 В) БЕЗ АКСЕССУАРОВ|30-180бар,390-780л/ч,5000Вт,380В,2800об,BY-PASS,46кг|703,30 €|1|1|,,,,,
131803 TSX (VER.351)|TSX 13.180 (380 В) БЕЗ АКСЕССУАРОВ|30-180бар,390-780л/ч,5000Вт,380В,2800об,BY-PASS,46кг|703,30 €|1|1|,,,,,
30014183 TX|TX 300 14.180 (380 В)|30-180бар,420-840л/ч,5500Вт,380В,1450об,TOTAL-STOP,61кг|1 004,90 €|1|1|,,,,,
131803 М (VER.007)*|M 13.180 Моноблок (АВД без нагрева воды) 380 В|Напряжение питания 380 В,Давление (бар) 30-180,Производительность (л/ч) 780 л/ч,Мощность 5,0 кВт Обороты двигателя 2800 об/мин Система управления BY-PASS (*Аппарат поставляется без шланга,пистолета и аксессуаров)|640,9|1|2|,,,,,,
101302 М (VER.007)*|M 10.130 Моноблок (АВД без нагрева воды) 220 В|Напряжение питания 220 В,Давление (бар) 30-130,Производительность (л/ч) 600 л/ч,Мощность 3,2 кВт Обороты двигателя 1400 об/мин Система управления BY-PASS (*Аппарат поставляется без шланга,пистолета и аксессуаров)|640,9|1|2|,,,,,,
88|Cальники выс.давл. для Elite 3х3 шт.(Kit 88)||30,485|1|3|
69|Cальники выс.давл. для R.Press 3х3 шт.(Kit 69)||41,379|1|3|
123|Комплект клапанов для Elite (28508) KIT 123||27,469|1|3|
1|Комплект клапанов для Royal Press (17859) KIT 01||30,043|1|3|
23|Комплект сальников 3шт. KIT 23 (GUGO 01001)||10,79|1|3|
137|Рем.комплект рег-ра давления Elite (KIT 137)||45,201|1|3|
28|Ремкомплект (18579 KTRI) (KIT 28)||33,956|1|3|
40009|Поршень (керамическая втулка) для Elite (09319)||21,879|1|3|
96932700|Колесо для TX,TSX||18,512|1|3|,,,,,,,,,,
23017851|Корпус для TSX||44,928|1|3|
ZKW32-000|Регулятор давления W 3.2 (E2D2013,E2B2014,E3B2515,E3B2121)||83,304|1|4|,,,,,,,,
34024101|KIT 241 Рем.комплект регулятора давления W 3.2||38,558|1|4|
